Mawiiep,RT @PiPemc: #earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,#earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,Thu Aug 23 11:24:33 +0000 2018
winget,I added a video to a @YouTube playlist https://t.co/qOJfq4JMfd 【東方】 SOUND HOLIC - Earthquake Super Shock,,Thu Aug 23 07:49:47 +0000 2018
familydisaster,"RT @Federation: A powerful 7.3 magnitude #earthquake has struck off the coast of #Venezuela. 

Volunteers from @CruzRojaVe and @TTRedCross…","A powerful 7.3 magnitude #earthquake has struck off the coast of #Venezuela. 

Volunteers from @CruzRojaVe and @TTRedCross are checking on communities and assessing the damage https://t.co/nTdzQGtEDs",Thu Aug 23 07:45:52 +0000 2018
Denzel_Dre,RT @xaymacanx: 6.8 magnitude earthquake in Trinidad and Tobago 🇹🇹 https://t.co/0x6KXSrzxQ,6.8 magnitude earthquake in Trinidad and Tobago 🇹🇹 https://t.co/0x6KXSrzxQ,Thu Aug 23 07:43:21 +0000 2018
mavic_auditor,"RT @UNOCHA: When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the fi…","When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the first plane to Istanbul. 
This is what happened next ➡️ https://t.co/A8gUdSNkYF 

#ReadyToGo https://t.co/cJEMtsHXXN",Thu Aug 23 07:26:39 +0000 2018
Charleenhill18,RT @MilekaLincoln: #LeilaniEstatesEruption #KilaueaVolcano UPDATE: USGS confirms collapse explosion at Kīlauea's summit around 7:50 AM prod…,#LeilaniEstatesEruption #KilaueaVolcano UPDATE: USGS confirms collapse explosion at Kīlauea's summit around 7:50 AM produced an ash-poor plume &amp; released energy equivalent to 5.2 magnitude earthquake; Here’s the science behind it👉🏽 https://t.co/bmI5HM2yzL @HawaiiNewsNow #HINews https://t.co/aYFjBJyjn2,Thu Aug 23 07:18:55 +0000 2018
DavidBandza,I liked a @YouTube video https://t.co/4emL7V0MOy Labrinth - Earthquake ft. Tinie Tempah,,Thu Aug 23 07:10:46 +0000 2018
Blancuh_,RT @TriniPandaa: Pray for my country Trinidad and Tobago as they just experienced a bad earthquake 🇹🇹 #PrayForTrinidad 🇹🇹 also Grenada 🇬🇩 a…,Pray for my country Trinidad and Tobago as they just experienced a bad earthquake 🇹🇹 #PrayForTrinidad 🇹🇹 also Grenada 🇬🇩 and Venezuela 🇻🇪 who has also been touched by the earthquake 😔🙏🏾 https://t.co/vpfujgZUNQ,Thu Aug 23 07:07:24 +0000 2018
nordicgeo,"RT @UNOCHA: When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the fi…","When a major earthquake struck Turkey in 1999, Jesper Lund packed a bag with what he could find in the office and got on the first plane to Istanbul. 
This is what happened next ➡️ https://t.co/A8gUdT4Wnf

#ReadyToGo https://t.co/NvlTNvJ0uS",Thu Aug 23 07:03:58 +0000 2018
Conservatexian,"New post: ""Video: Venezuelan Leader Celebrates 'Socialist' Earthquake"" https://t.co/i4OBZR2pxP",,Thu Aug 23 07:03:44 +0000 2018
nuuzfeed,🛑 BREITBART NEWS 🛑 👉 'Video: Venezuelan Leader Celebrates 'Socialist' Earthquake' #MAGA￼🇺🇸#2A #Prolife https://t.co/Bc0cK4rtf8,,Thu Aug 23 07:03:31 +0000 2018
